uid,body,title,url,newspapper_uid,host,n_tokens_title,n_tokens_body
76745501e11bacf0a91027fb43ffc6ff,"En medio de las muchas ofertas de guías virtuales en cocina, se destaca la del restaurante La Pinta (ubicado en Chapinero Alto), que antes de la pandemia solía ofrecer una comida internacional con énfasis en los puntos de encuentro gastronómicos entre España y Colombia.Para esta temporada, el lugar decidió crear La Pinta Summer Camp, una temporada de clases virtuales de cocina pensadas para niños de entre 7 y 15 años.",Jornadas virtuales de cocina para niños en La Pinta Summer Camp,https://www.eltiempo.com//cultura/gastronomia/clases-virtuales-de-cocina-para-ninos-en-la-pinta-summer-camp-512280,eltiempo,www.eltiempo.com,7,36
1370066f95b4fd6c4d3fd79eaa9c6c12,Lo que se guardó Rudesindo Cantarell Jiménez durante casi una década era la ubicación de uno de los más grandes tesoros energéticos que la naturaleza le dio a México.,El pescador que descubrió el más grande tesoro petrolero de México,https://www.eltiempo.com//economia/sector-financiero/el-pescador-que-descubrio-el-mas-grande-tesoro-petrolero-de-mexico-y-murio-en-el-abandono-512088,eltiempo,www.eltiempo.com,6,13
de084954b61ed440a05033daeb64145e,"El 12 de marzo pasado, Luis Carlos Chía ganó la etapa y Diego Ochoa se coronó campeón de la Clásica de Rionegro, la última competencia que se disputó en el país pues días después se decretó el confinamiento.",¡Crisis! Lote colombiano propone correr hasta la vuelta de la esquina,https://www.eltiempo.com//deportes/ciclismo/ciclistas-tecnicos-y-dirigentes-y-la-situacion-del-ciclismo-colombiano-en-la-pandemia-512224,eltiempo,www.eltiempo.com,6,22
15b6dd6ddeb8d73a3391cda71c7ff3a8,"María Amparo Leyton Girón es la nueva víctima de feminicidio en Neiva, Huila. La ama de casa, de 63 años, fue atacada por un hombre armado que ingresó de manera imprevista a su vivienda, en la calle 28 con carrera octava del barrio José Eustasio Rivera, donde la asesinó y huyó a pie por una zona boscosa.""Vivía con nietos en una casa humilde y mantenía en la ventana un trapo rojo en señal de que necesitaba alimentos"", afirmaron habitantes de esa zona popular de Neiva.(Le recomendamos: Familia sacó un cadáver de una clínica en Soledad, Atlántico)",Indignación por asesinato de una mujer adulta en su casa de Neiva,https://www.eltiempo.com//colombia/otras-ciudades/indignacion-por-asesinato-de-una-mujer-adulta-en-su-casa-de-neiva-512194,eltiempo,www.eltiempo.com,6,54
192814caaa40cbd90cd92827f1ec9ba0,"La cuarentena en Colombia no solo juntó a diseñadores italianos con los artesanos de Ráquira, sino que puso la tecnología ante los ojos de los creadores tradicionales de ese municipio colombiano, ubicado en el departamento de Boyacá, que, luego de este experimento, además de obtener recursos en pleno aislamiento social, podrán exponer sus piezas en Milán (Italia).(Le recomendamos: Los ajustes que traería la segunda jornada sin IVA de este viernes)",Las piezas artesanales de cuarentena que unieron a Ráquira con Italia,https://www.eltiempo.com//economia/empresas/piezas-artesanales-de-raquira-salen-a-italia-en-cuarentena-512168,eltiempo,www.eltiempo.com,6,39
b4936ab196892bffd84084cfed16f5d5,"La pandemia de covid-19 llevó al colectivo LGBT+ a cancelar las marchas y fiestas del Orgullo, pero no a aparcar sus reivindicaciones de igualdad, que este año ha defendido en internet y en alguna que otra pequeña manifestación. Internet fue el mayor escenario de la Global Pride 2020, este fin de semana, con un concierto desde casa con artistas como Elton John; el 'Can’t Cancel Pride' ('No pueden cancelar el orgullo') en el que actuaron, entre otros, Ricky Martin y Katy Perry, o el Orgullo Dentro, que ofrece charlas y otras actividades hasta el 5 de julio.","Día del Orgullo 2020: Cancelaron las marchas, no las reivindicaciones",https://www.eltiempo.com//vida/lgbt-celebraciones-del-dia-del-orgullo-2020-en-el-mundo-512276,eltiempo,www.eltiempo.com,5,45
c7c48f833c092c9fe7d12e680d265e6c,"Una crisis sin antecedentes afronta el sector petrolero en el país como consecuencia de la fatal combinación del coronavirus y la caída de los precios del petróleo, reconoció el presidente ejecutivo de la Asociación Colombiana del Petróleo (ACP), Francisco José Lloreda.",La combinación fatal que tiene en crisis a los pueblos petroleros,https://www.eltiempo.com/colombia/otras-ciudades/coronavirus-en-colombia-refinerias-en-colombia-en-crisis-por-cuarentena-512182,eltiempo,www.eltiempo.com,5,23
a2b7e03e10fda82afa8a1f4be7b7e678,"Colombia empieza a ver cómo se duplica el número de muertes diarias. ¿Estamos siquiera cerca del pico de contagio? Además, en este episodio de 'El primer café': Las universidades públicas y privadas del país empiezan a proponer descuentos para evitar la deserción masiva de estudiantes; Gobierno ya habla de reapertura gradual de restaurantes ¿cómo sería? ¿Qué llega a Netflix en julio? Y al final, 'La greca'.",¿Estamos cerca del pico de contagio? / Restaurantes: cómo volver,https://www.eltiempo.com//podcast/el-primer-cafe/pico-de-contagio-y-reapertura-de-restaurantes-temas-de-el-primer-cafe-511396,eltiempo,www.eltiempo.com,6,37
de5ac3a857a272c7da9018e2e13c2ead,"“El problema de la educación es que nos hemos ido quedando sin un lenguaje que llame a las cosas por su nombre”, me dice una lectora que se declara perdida entre un lenguaje políticamente correcto, “lleno de eufemismos que ocultan la tragedia”. Está intentando descifrar las orientaciones para “avanzar hacia la alternancia”, publicadas por el Ministerio de Educación, una serie de documentos larguísimos que son, apenas, las líneas generales para hacer los protocolos de las aperturas educativas paulatinas, “a partir” del 1 de agosto.",educacion mas alla del protocolo columna de yolanda reyes 512244,https://www.eltiempo.com//opinion/columnistas/yolanda-reyes/educacion-mas-alla-del-protocolo-columna-de-yolanda-reyes-512244,eltiempo,www.eltiempo.com,7,41
0a93b08e9670540d5e33707e60313be5,"Cartagena de Indias es uno de los destinos preferidos por los colombianos y uno de los atractivos turísticos más importantes del país. Su historia, tradición y esencia, trascienden entre los visitantes, y la conmemoran como una de las zonas más bellas y románticas del mundo. Y es que, ¿quién podría decirle que no a un viaje a La Heroica?",Lo mejor del encanto de Cartagena de Indias en un solo lugar,https://www.eltiempo.com//contenido-comercial/lo-mejor-del-encanto-de-cartagena-de-indias-en-un-solo-lugar-511708,eltiempo,www.eltiempo.com,6,23
ca5469d8e28af7cc0bdca63577a5a3ff,"China aprobó hoy el uso interno en el Ejército de la nueva vacuna de coronavirus desarrollada por el Instituto Científico Militar y la compañía biofarmacéutica china CanSino Biologics, anunció hoy la empresa.",Covid-19: China aprueba 'uso interno' de una vacuna en su Ejército ,https://www.eltiempo.com//mundo/asia/covid-19-china-aprueba-uso-interno-de-una-vacuna-en-su-ejercito-512298,eltiempo,www.eltiempo.com,5,21
